SL,project_name,migration_direction,prompt_mode,model_name,cosine_similarity,crystal_bleu
183,redhat-developer_quarkus-ls,gha_to_travis,zero-shot,gpt-4o,0.732143,0.403537
184,redhat-developer_quarkus-ls,gha_to_travis,zero-shot,mistral_7b,0.284243,0.058824
185,image-transform-converters_image-transform-converters,travis_to_gha,zero-shot,gemma3_12b,0.720674,0.192422
186,image-transform-converters_image-transform-converters,travis_to_gha,zero-shot,llama3_1_8b,0.446054,0.167657
187,image-transform-converters_image-transform-converters,travis_to_gha,zero-shot,gpt-4o,0.743938,0.291969
188,image-transform-converters_image-transform-converters,travis_to_gha,zero-shot,mistral_7b,0.539564,0.134945
189,image-transform-converters_image-transform-converters,gha_to_travis,zero-shot,gemma3_12b,0.237574,0.093754
190,image-transform-converters_image-transform-converters,gha_to_travis,zero-shot,llama3_1_8b,0.245145,0.06036
191,image-transform-converters_image-transform-converters,gha_to_travis,zero-shot,gpt-4o,0.319173,0.059127
192,image-transform-converters_image-transform-converters,gha_to_travis,zero-shot,mistral_7b,0.115881,0.033695
193,imglib_imglib2,travis_to_gha,zero-shot,gemma3_12b,0.651497,0.38152
194,imglib_imglib2,travis_to_gha,zero-shot,llama3_1_8b,0.692763,0.369274
195,imglib_imglib2,travis_to_gha,zero-shot,gpt-4o,0.648591,0.363913
196,imglib_imglib2,travis_to_gha,zero-shot,mistral_7b,0.630184,0.176681
197,imglib_imglib2,gha_to_travis,zero-shot,gemma3_12b,0.30015,0.116207
198,imglib_imglib2,gha_to_travis,zero-shot,llama3_1_8b,0.272475,0.102009
199,imglib_imglib2,gha_to_travis,zero-shot,gpt-4o,0.129586,0.115831
200,imglib_imglib2,gha_to_travis,zero-shot,mistral_7b,0.149766,0.02838
201,xvik_yaml-updater,travis_to_gha,zero-shot,gemma3_12b,0.712908,0.33067
202,xvik_yaml-updater,travis_to_gha,zero-shot,llama3_1_8b,0.703507,0.36058
203,xvik_yaml-updater,travis_to_gha,zero-shot,gpt-4o,0.752287,0.293256
204,xvik_yaml-updater,travis_to_gha,zero-shot,mistral_7b,0.750477,0.401085
205,xvik_yaml-updater,gha_to_travis,zero-shot,gemma3_12b,0.584615,0.373312
206,xvik_yaml-updater,gha_to_travis,zero-shot,llama3_1_8b,0.54697,0.245187
207,xvik_yaml-updater,gha_to_travis,zero-shot,gpt-4o,0.817799,0.451006
208,xvik_yaml-updater,gha_to_travis,zero-shot,mistral_7b,0.527148,0.228373
209,dschadow_CloudSecurity,travis_to_gha,zero-shot,gemma3_12b,0.71459,0.414578
210,dschadow_CloudSecurity,travis_to_gha,zero-shot,llama3_1_8b,0.653661,0.35574
211,dschadow_CloudSecurity,travis_to_gha,zero-shot,gpt-4o,0.648289,0.397911
212,dschadow_CloudSecurity,travis_to_gha,zero-shot,mistral_7b,0.667326,0.288675
213,dschadow_CloudSecurity,gha_to_travis,zero-shot,gemma3_12b,0.502616,0.246296
214,dschadow_CloudSecurity,gha_to_travis,zero-shot,llama3_1_8b,0.363636,0.22188
215,dschadow_CloudSecurity,gha_to_travis,zero-shot,gpt-4o,0.426401,0.145048
216,dschadow_CloudSecurity,gha_to_travis,zero-shot,mistral_7b,0.426401,0.126352
217,fiji_KymographBuilder,travis_to_gha,zero-shot,gemma3_12b,0.611852,0.223406
218,fiji_KymographBuilder,travis_to_gha,zero-shot,llama3_1_8b,0.668268,0.391377
