lines,jobs,steps,matrix,services,container,workflow_call,reusable_local_action,permissions,secrets_refs,env_refs,github_token_refs,concurrency,needs,if_conditions,caches,deployments,cron_schedule,workflow_dispatch,top_level_env,project,fold,cosine,bleu
22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sofastack_sofa-registry,Set_90_10_V_02,0.96,0.85
46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,opencadc_cadc-target-resolver,Set_90_10_V_05,0.96,0.92
46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,YakushevVladimir_BibleQuote-for-Android,Set_90_10_V_09,0.96,0.88
35,2,2,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,AuScope_NVCLAnalyticalServices,Set_90_10_V_05,0.97,0.91
56,2,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,MineLittlePony_HDSkins,Set_90_10_V_06,0.97,0.93
42,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,ConsensusJ_consensusj,Set_90_10_V_09,0.97,0.76
43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,jnidzwetzki_bboxdb,Set_90_10_V_02,0.98,0.87
37,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,fiji_SPIM_Registration,Set_90_10_V_06,0.99,0.86
27,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FasterXML_jackson-jr,Set_90_10_V_03,1.0,0.88
22,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,io7m_jmurmur,Set_90_10_V_03,1.0,1.0
28,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fiji_Cell_Counter,Set_90_10_V_04,1.0,1.0
28,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fiji_KymographBuilder,Set_90_10_V_04,1.0,0.94
34,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fiji_pQCT,Set_90_10_V_06,1.0,0.94
28,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fiji_cookbook,Set_90_10_V_07,1.0,1.0
18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,xuxueli_xxl-job,Set_90_10_V_07,1.0,1.0
28,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fiji_VIB-lib,Set_90_10_V_08,1.0,0.94
30,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,billthefarmer_editor,Set_90_10_V_09,1.0,0.91
16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spigotplugins_fakeplayer,Set_90_10_V_09,1.0,1.0
