project,setting,n_files,score_mean,yaml_pass_rate,external_pass_rate,yaml_score_mean,external_score_mean
kryptokrauts_aepp-sdk-java,CIMig,2,0.0,0.0,0.0,0.0,0.0
kryptokrauts_aepp-sdk-java,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
kryptokrauts_aepp-sdk-java,Fine-Tuned,2,0.5,0.5,0.5,0.5,0.5
kryptokrauts_aepp-sdk-java,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
lessthanoptimal_BoofCV,CIMig,2,0.0,0.0,0.0,0.0,0.0
line_decaton,CIMig,2,0.0,0.0,0.0,0.0,0.0
line_decaton,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
line_decaton,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
line_decaton,Few-Shot,8,0.5625,0.625,0.5,0.625,0.5
linkedin_avro-util,CIMig,2,0.0,0.0,0.0,0.0,0.0
linkedin_avro-util,Zero-Shot,8,0.625,0.75,0.5,0.75,0.5
linkedin_avro-util,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
linkedin_avro-util,Few-Shot,8,0.5,0.625,0.375,0.625,0.375
mamewotoko_podplayer,CIMig,2,0.0,0.0,0.0,0.0,0.0
mate-academy_hibernate-configuration-hw,CIMig,2,0.0,0.0,0.0,0.0,0.0
mate-academy_hibernate-configuration-hw,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
mate-academy_hibernate-configuration-hw,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
mendhak_gpslogger,CIMig,2,0.0,0.0,0.0,0.0,0.0
mendhak_gpslogger,Zero-Shot,8,0.5625,0.75,0.375,0.75,0.375
mendhak_gpslogger,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
mendhak_gpslogger,Few-Shot,8,0.5,0.5,0.5,0.5,0.5
messaginghub_pooled-jms,CIMig,2,0.0,0.0,0.0,0.0,0.0
michaelliao_itranswarp,CIMig,2,0.0,0.0,0.0,0.0,0.0
michaelliao_itranswarp,Zero-Shot,8,0.75,0.75,0.75,0.75,0.75
michaelliao_itranswarp,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
michaelliao_itranswarp,Few-Shot,8,0.625,0.625,0.625,0.625,0.625
micheljung_nocatch,CIMig,2,0.0,0.0,0.0,0.0,0.0
micheljung_nocatch,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
micheljung_nocatch,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
micheljung_nocatch,Few-Shot,8,0.5625,0.625,0.5,0.625,0.5
miho_VTCC,CIMig,2,0.0,0.0,0.0,0.0,0.0
miho_VTCC,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
miho_VTCC,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
